,by,descendants,id,kids,score,time,title,type,url
0,PaulHoule,45.0,37874891,"[37875565, 37875366, 37875846, 37875307, 37875522, 37876147, 37875987, 37875739, 37876215, 37875385, 37876202, 37875655, 37875743, 37874977, 37875540, 37875347, 37875443, 37875708, 37875603, 37875625, 37875478, 37875348, 37875676, 37875890]",176,1697227112,TimeGPT-1,story,https://arxiv.org/abs/2310.03589
1,privong,6.0,37872774,"[37876372, 37873048, 37876177, 37876141]",45,1697216232,The whole of the Whole Earth Catalog is now online,story,https://www.wired.com/story/whole-earth-catalog-now-online-internet-archive/
2,samaysharma,1.0,37875396,"[37875684, 37876300]",13,1697229676,Extinct goat was cold-blooded (2009),story,https://phys.org/news/2009-11-extinct-goat-cold-blooded.html
3,peter_d_sherman,37.0,37867272,"[37876238, 37874975, 37874757, 37875345, 37875013, 37875301, 37874895, 37867276]",78,1697177330,MathJax: Beautiful and accessible math in all browsers,story,https://www.mathjax.org/
4,GaggiX,2.0,37875542,"[37876342, 37876385]",21,1697230655,Playing Pokemon Red with Reinforcement Learning,story,https://github.com/PWhiddy/PokemonRedExperiments
5,rasbt,26.0,37870930,"[37873201, 37872101, 37872649, 37872025, 37875649, 37874490, 37873295]",187,1697206803,Takeaways from hundreds of LLM finetuning experiments with LoRA,story,https://lightning.ai/pages/community/lora-insights/
6,rmason,15.0,37874587,"[37876397, 37876181, 37875896, 37875213, 37875802, 37875539, 37875716]",84,1697225593,Histotripsy – a technique that harnesses soundwaves to attack cancer,story,https://news.engin.umich.edu/2023/10/these-bubbles-kill-cancer/
7,clouddrover,33.0,37873798,"[37876140, 37876080, 37874594, 37874285, 37874971, 37874283, 37875727, 37874979, 37874278, 37875919, 37875137]",78,1697221426,Sodium ascorbate treatment for sepsis moves to next phase of human trials,story,https://florey.edu.au/news/2023/10/remarkable-medical-discovery-for-sepsis-moves-to-next-phase-of-human-trials/
8,jm20,,37875574,,1,1697230838,Kodable (YC IK12) is hiring a Unity game Developer to help teach kids to code,job,https://www.ycombinator.com/companies/kodable/jobs/67s5cf8-unity-game-developer
9,dmunozv04,15.0,37873749,"[37876168, 37875872, 37875925, 37873750, 37875857, 37875869]",44,1697221178,iSponsorBlockTV v2: SponsorBlock for TVs and game consoles,story,https://github.com/dmunozv04/iSponsorBlockTV
